LOAN_ID,AMOUNT,DUE_MORTGAGE,VALUE,REASON,OCC,TJOB,DCL,CLT,CL_COUNT,RATIO,CONVICTED,VAR_1,VAR_2,VAR_3,DEFAULTER
3685278,69100,197486,295531,1,5,10,0,212.7763912,24,30.36685652,1,0,3,2.3937,0
3682952,70400,197660,294149,1,5,9,0,213.2397249,24,28.91707333,0,0,2,0.41269,0
3685073,69800,192062,293881,1,5,10,0,223.1475256,24,29.04823599,1,0,2,1.1727,0
3683457,68200,193197,288505,1,5,10,0,229.2872952,25,30.40586943,1,0,2,2.5176,0
3685495,40100,147123,224980,1,5,2,4,159.2,28,-1,1,0,3,2.4921,1
3685080,29100,149799,200980,1,5,5,4,132.9333333,29,-1,0,4,1,2.7782,1
3684687,43400,119250,179327,1,5,13,0,179.9515394,4,37.99046402,0,0,0,2.0862,0
3686119,43000,122271,175948,1,5,13,0,161.7297557,4,39.47919961,0,0,0,2.6146,0
3685431,46300,117126,174862,1,5,12,0,196.6411868,5,40.63161928,0,0,0,2.099,0
3685661,45800,118146,174691,1,5,11,0,171.6522245,5,37.74075139,0,0,0,2.4932,0
3684823,42700,113899,173980,1,5,12,0,184.4333333,5,-1,0,0,0,1.5932,0
3684681,24300,120899,162880,1,5,13,1,152.9333333,35,-1,0,1,1,2.4293,1
3685527,25100,101149,134980,1,5,3,0,302.3,46,-1,0,0,4,1.2065,1
3685051,38100,93982,132771,1,5,10,1,213.992728,64,62.81173209,0,0,0,0.55278,1
3685340,8300,117213,132750,1,5,4,1,177.3345415,19,34.56205243,0,0,0,1.582,0
3683352,15700,62481,131490,1,5,2,2,123.6040529,17,38.5982224,0,0,1,2.6426,1
3683783,15100,61337,127280,1,5,4,3,135.2666667,17,-1,0,1,1,1.7038,1
3683807,10800,110688,126761,1,5,6,1,179.6374675,19,31.89893638,0,0,0,2.7276,0
3682656,11900,117952,125305,1,5,5,0,182.1720651,18,33.21039733,0,0,0,2.2304,0
3682960,9500,109890,125126,1,5,7,1,172.6798111,18,34.82346859,0,0,0,1.8521,0
3683616,44100,68499,124980,1,5,5,2,93.3,23,-1,0,0,0,2.688,1
3684848,10800,115017,124178,1,5,6,0,175.3418233,19,31.76799058,0,1,0,0.94691,0
3682966,21900,96608,123593,1,5,3,0,219.7303331,27,35.88449455,0,0,2,1.3273,0
3683851,24500,95742,123357,1,5,2,0,202.9767562,26,32.91346813,0,0,1,2.4513,0
3685916,23000,95220,123062,1,5,3,0,206.4415191,26,34.06349114,0,0,2,0.68342,0
3683094,21900,89964,122315,1,5,3,0,213.6954676,26,34.85691939,0,0,1,2.155,0
3685888,24100,88682,116947,1,5,2,0,172.5062567,23,56.97183857,0,0,5,2.7421,1
3684436,22300,93846,116156,1,5,2,0,206.0294085,26,34.94940311,0,0,2,1.811,0
